score_metric,Performance_Percentile,Inconsistency
cluster_0,82.7256944444445,12.094592114479005
kl_divergence,71.13715277777781,19.809864742344047
work_magnitude,70.9201388888889,25.13590711282104
work_opt,70.09548611111114,18.98932600704371
work_density,70.09548611111113,18.989326007043708
work_fitting,70.0954861111111,18.989326007043708
work_shape,70.05208333333334,25.271043730523797
val_loss,55.81597222222222,10.680528755082706
cluster_1,42.187500000000014,35.09683074752976
val_mse,36.892361111111086,19.53438740715443
d_mse_val,36.89236111111108,19.534387407154426
d_mse_test,28.03819444444451,16.252417026896584
test_mse,28.038194444444418,16.252417026896584
train_mse,26.64930555555556,15.205787821132347
d_mse_train,26.649305555555546,15.205787821132345
work_scale,22.048611111111132,13.073826083179839
