Term,Level,Coefficient,Lower_CI,Upper_CI,Is_Reference
metric,val_loss,43.43742385477771,-13.101018295656615,99.97586600521204,False
metric,d_mse_test,17.23432931286736,-39.304112837567054,73.77277146330178,False
metric,d_mse_train,19.01917336744826,-37.519268782986124,75.55761551788265,False
metric,d_mse_val,21.419270833335194,-35.119171317099145,77.95771298376954,False
metric,test_mse,17.234329312867334,-39.30411283756705,73.77277146330172,False
metric,train_mse,19.01917336744824,-37.51926878298612,75.5576155178826,False
metric,val_mse,21.419270833335208,-35.1191713170991,77.95771298376953,False
metric,kl_divergence,8.600983796298141,-47.937458354136226,65.1394259467325,False
metric,work_density,29.5470120614054,-26.991430089028913,86.08545421183972,False
metric,work_fitting,32.1420413011715,-24.396400849262825,88.68048345160582,False
metric,work_magnitude,61.486887792399564,4.948445641965208,118.02532994283392,False
metric,work_opt,30.460754751463888,-26.077687398970433,86.99919690189822,False
metric,work_scale,85.77721430312084,29.238772152686515,142.31565645355516,False
metric,work_shape,-4.64523940058295,-61.18368155101728,51.893202749851376,False
metric,cluster_0,95.11109588206844,38.57265373163426,151.64953803250262,False
metric,cluster_1,14.060596369397581,-42.47784578103675,70.59903851983191,False
mclass,GT+alt,0.0,0.0,0.0,True
mclass,GT-only,-2.010995370375028,-79.73440441586303,75.71241367511297,False
exp,MoPrP-RW+BV,0.0,0.0,0.0,True
exp,MoPrP-Reweighting,-1.7361111111113545,-21.853944138161538,18.381721915938826,False
exp,TeaA-IsoValidation,3.581871345028541,-74.90919493474738,82.07293762480447,False
loss,Aggr,0.0,0.0,0.0,True
split,sequence_cluster,0.0,0.0,0.0,True
split,spatial,14.855171783625002,-2.0210847220029553,31.73142828925296,False
