value,term,type,level
2.5261960314733515e-12,ensemble[C(ensemble)[AF2_MSAss]],ensemble,C(ensemble
1.464908788927686e-12,ensemble[C(ensemble)[AF2_filtered]],ensemble,C(ensemble
-2.7303810490548444e-13,ensemble[C(ensemble)[ISO_BI]],ensemble,C(ensemble
-1.0090538659550513e-12,ensemble[C(ensemble)[ISO_TRI]],ensemble,C(ensemble
-7.609464991946728,split[C(split)[sequence_cluster]],split,C(split
7.609464991947704,split[C(split)[spatial]],split,C(split
5.9934865655052416e-09,split_metric[C(split)[sequence_cluster]:C(metric)[cluster_0]],other,split_metric[C(split)[sequence_cluster]:C(metric)[cluster_0]]
-5.993486565505233e-09,split_metric[C(split)[spatial]:C(metric)[cluster_0]],other,split_metric[C(split)[spatial]:C(metric)[cluster_0]]
-1.7692770355481072e-10,split_metric[C(split)[sequence_cluster]:C(metric)[cluster_1]],other,split_metric[C(split)[sequence_cluster]:C(metric)[cluster_1]]
1.7692770355483422e-10,split_metric[C(split)[spatial]:C(metric)[cluster_1]],other,split_metric[C(split)[spatial]:C(metric)[cluster_1]]
2.6039138786461525e-09,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_test]],other,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_test]]
-2.603913878646147e-09,split_metric[C(split)[spatial]:C(metric)[d_mse_test]],other,split_metric[C(split)[spatial]:C(metric)[d_mse_test]]
-1.1979423810054733e-10,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_train]],other,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_train]]
1.1979423810058018e-10,split_metric[C(split)[spatial]:C(metric)[d_mse_train]],other,split_metric[C(split)[spatial]:C(metric)[d_mse_train]]
-1.4639888616971377e-09,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_val]],other,split_metric[C(split)[sequence_cluster]:C(metric)[d_mse_val]]
1.4639888616971605e-09,split_metric[C(split)[spatial]:C(metric)[d_mse_val]],other,split_metric[C(split)[spatial]:C(metric)[d_mse_val]]
5.334893527359775e-09,split_metric[C(split)[sequence_cluster]:C(metric)[kl_divergence]],other,split_metric[C(split)[sequence_cluster]:C(metric)[kl_divergence]]
-5.334893527359764e-09,split_metric[C(split)[spatial]:C(metric)[kl_divergence]],other,split_metric[C(split)[spatial]:C(metric)[kl_divergence]]
2.6039138786461563e-09,split_metric[C(split)[sequence_cluster]:C(metric)[test_mse]],other,split_metric[C(split)[sequence_cluster]:C(metric)[test_mse]]
-2.6039138786461443e-09,split_metric[C(split)[spatial]:C(metric)[test_mse]],other,split_metric[C(split)[spatial]:C(metric)[test_mse]]
-1.1979423810054586e-10,split_metric[C(split)[sequence_cluster]:C(metric)[train_mse]],other,split_metric[C(split)[sequence_cluster]:C(metric)[train_mse]]
1.197942381005809e-10,split_metric[C(split)[spatial]:C(metric)[train_mse]],other,split_metric[C(split)[spatial]:C(metric)[train_mse]]
-1.4160883400126696e-10,split_metric[C(split)[sequence_cluster]:C(metric)[val_loss]],other,split_metric[C(split)[sequence_cluster]:C(metric)[val_loss]]
1.4160883400129544e-10,split_metric[C(split)[spatial]:C(metric)[val_loss]],other,split_metric[C(split)[spatial]:C(metric)[val_loss]]
-1.4639888616971402e-09,split_metric[C(split)[sequence_cluster]:C(metric)[val_mse]],other,split_metric[C(split)[sequence_cluster]:C(metric)[val_mse]]
1.463988861697158e-09,split_metric[C(split)[spatial]:C(metric)[val_mse]],other,split_metric[C(split)[spatial]:C(metric)[val_mse]]
-1.5439757133330984e-09,split_metric[C(split)[sequence_cluster]:C(metric)[work_density]],other,split_metric[C(split)[sequence_cluster]:C(metric)[work_density]]
1.5439757133331294e-09,split_metric[C(split)[spatial]:C(metric)[work_density]],other,split_metric[C(split)[spatial]:C(metric)[work_density]]
-1.8722334421248345e-09,split_metric[C(split)[sequence_cluster]:C(metric)[work_fitting]],other,split_metric[C(split)[sequence_cluster]:C(metric)[work_fitting]]
1.872233442124888e-09,split_metric[C(split)[spatial]:C(metric)[work_fitting]],other,split_metric[C(split)[spatial]:C(metric)[work_fitting]]
-2.182831736139805e-09,split_metric[C(split)[sequence_cluster]:C(metric)[work_magnitude]],other,split_metric[C(split)[sequence_cluster]:C(metric)[work_magnitude]]
2.182831736139869e-09,split_metric[C(split)[spatial]:C(metric)[work_magnitude]],other,split_metric[C(split)[spatial]:C(metric)[work_magnitude]]
-1.755888930654355e-09,split_metric[C(split)[sequence_cluster]:C(metric)[work_opt]],other,split_metric[C(split)[sequence_cluster]:C(metric)[work_opt]]
1.755888930654379e-09,split_metric[C(split)[spatial]:C(metric)[work_opt]],other,split_metric[C(split)[spatial]:C(metric)[work_opt]]
-2.3406116900906457e-10,split_metric[C(split)[sequence_cluster]:C(metric)[work_scale]],other,split_metric[C(split)[sequence_cluster]:C(metric)[work_scale]]
2.340611690091016e-10,split_metric[C(split)[spatial]:C(metric)[work_scale]],other,split_metric[C(split)[spatial]:C(metric)[work_scale]]
-8.805119777429032e-09,split_metric[C(split)[sequence_cluster]:C(metric)[work_shape]],other,split_metric[C(split)[sequence_cluster]:C(metric)[work_shape]]
8.805119777429055e-09,split_metric[C(split)[spatial]:C(metric)[work_shape]],other,split_metric[C(split)[spatial]:C(metric)[work_shape]]
