l2_weight,x_regularisation,maxent_regularisation,mse,trial_index
97.73574219489636,2.0563601337349002,29.439915730875526,0.24681575361299365,0
0.0777538539708562,162.51847288451168,2.202641362329239,0.2206183194962233,1
0.8390094192569736,11.721398166664319,3.3987886650810504,0.20837379190387662,2
9.061006292681995,925.952863346271,0.254435499585955,0.22931438646986688,3
1.5386621476843783,24.208610913065186,0.7011956521137241,0.22951645240744298,4
0.16341846465664092,274.0550524249695,52.47386887109415,0.18950432302682535,5
0.01,1.0,0.1,0.20841318406870335,6
0.01,1.0,100.0,0.2577691985302272,7
100.0,1.0,0.1,0.21737710075340164,8
100.0,1000.0,100.0,0.2392589861819619,9
0.01,1000.0,0.1,0.22870558162214505,10
0.01,1000.0,100.0,0.2570891232546342,11
100.0,65.36998278493975,0.1,0.21736911660643515,12
0.8748519537167295,1.0,0.1,0.20808086034160705,13
5.193871128943085,26.913307250382797,100.0,0.22353800718883687,14
0.01,32.85902904369137,0.1,0.2103537002016665,15
1.0320358500374645,1.0,100.0,0.20089931794382151,16
0.01,1.0,1.451222341082143,0.19410763416872273,17
3.8779779056209396,1000.0,8.313406681090362,0.20962291730542854,18
0.20781243208288372,1.0,1.2350099780586128,0.22415729999594086,19
