Mixing Ratio,netHDX_standard_mean,netHDX_standard_ci_lower,netHDX_standard_ci_upper,BV_standard_mean,BV_standard_ci_lower,BV_standard_ci_upper,BV_Oxy_mean,BV_Oxy_ci_lower,BV_Oxy_ci_upper,BV_Heavy_mean,BV_Heavy_ci_lower,BV_Heavy_ci_upper,netHDX_1_mean,netHDX_1_ci_lower,netHDX_1_ci_upper,netHDX_3_mean,netHDX_3_ci_lower,netHDX_3_ci_upper,netHDX_5_mean,netHDX_5_ci_lower,netHDX_5_ci_upper,netHDX_7_mean,netHDX_7_ci_lower,netHDX_7_ci_upper,netHDX_9_mean,netHDX_9_ci_lower,netHDX_9_ci_upper
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.1000,0.008764,0.008390,0.009137,0.005913,0.005740,0.006087,0.005910,0.005737,0.006083,0.000192,0.000170,0.000214,0.000835,0.000776,0.000895,0.003168,0.003039,0.003298,0.004643,0.004428,0.004858,0.005779,0.005481,0.006077,0.006980,0.006532,0.007428
0.2000,0.017527,0.016780,0.018275,0.011827,0.011480,0.012174,0.011821,0.011474,0.012167,0.000384,0.000340,0.000428,0.001671,0.001552,0.001790,0.006337,0.006078,0.006596,0.009286,0.008856,0.009716,0.011558,0.010962,0.012154,0.013960,0.013064,0.014856
0.3000,0.026291,0.025170,0.027412,0.017740,0.017220,0.018260,0.017731,0.017211,0.018250,0.000576,0.000510,0.000642,0.002506,0.002328,0.002684,0.009505,0.009117,0.009893,0.013929,0.013284,0.014574,0.017337,0.016443,0.018231,0.020940,0.019596,0.022284
0.4000,0.035055,0.033560,0.036550,0.023654,0.022961,0.024347,0.023641,0.022948,0.024334,0.000768,0.000680,0.000856,0.003342,0.003104,0.003579,0.012673,0.012155,0.013191,0.018572,0.017712,0.019432,0.023116,0.021924,0.024308,0.027920,0.026128,0.029712
0.5000,0.043818,0.041950,0.045687,0.029567,0.028701,0.030434,0.029551,0.028685,0.030417,0.000960,0.000850,0.001069,0.004177,0.003880,0.004474,0.015842,0.015194,0.016489,0.023215,0.022140,0.024290,0.028895,0.027405,0.030385,0.034900,0.032660,0.037139
0.6000,0.052582,0.050340,0.054825,0.035481,0.034441,0.036521,0.035462,0.034422,0.036501,0.001152,0.001020,0.001283,0.005012,0.004656,0.005369,0.019010,0.018233,0.019787,0.027858,0.026568,0.029148,0.034674,0.032886,0.036462,0.041880,0.039192,0.044567
0.7000,0.061346,0.058729,0.063962,0.041394,0.040181,0.042608,0.041372,0.040159,0.042584,0.001344,0.001190,0.001497,0.005848,0.005432,0.006263,0.022178,0.021272,0.023085,0.032501,0.030996,0.034006,0.040453,0.038366,0.042539,0.048859,0.045724,0.051995
0.8000,0.070109,0.067119,0.073099,0.047308,0.045921,0.048694,0.047282,0.045896,0.048668,0.001536,0.001360,0.001711,0.006683,0.006208,0.007158,0.025347,0.024311,0.026382,0.037144,0.035424,0.038864,0.046231,0.043847,0.048616,0.055839,0.052256,0.059423
0.9000,0.078873,0.075509,0.082237,0.053221,0.051661,0.054781,0.053192,0.051633,0.054751,0.001727,0.001530,0.001925,0.007519,0.006984,0.008053,0.028515,0.027350,0.029680,0.041787,0.039852,0.043722,0.052010,0.049328,0.054692,0.062819,0.058788,0.066851
1.0000,0.087637,0.083899,0.091374,0.059135,0.057402,0.060868,0.059103,0.057371,0.060835,0.001919,0.001700,0.002139,0.008354,0.007760,0.008948,0.031683,0.030389,0.032978,0.046430,0.044280,0.048580,0.057789,0.054809,0.060769,0.069799,0.065319,0.074279
